wort,tags,hinweis,fremd:en,fremd_hinweis:en,fremd:hu,fremd_hinweis:hu
grillen,"UD::Goethe::A1,UD::UniLeipzig::14",,,,,
Großeltern,"UD::Goethe::A1,UD::UniLeipzig::12",,,,,
Großmutter,"UD::Goethe::A1,UD::UniLeipzig::12",,,,,
Großvater,"UD::Goethe::A1,UD::UniLeipzig::12",,,,,
Größe,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
Gruppe,"UD::Goethe::A1,UD::UniLeipzig::8",,,,,
Gruß,"UD::Goethe::A1,UD::UniLeipzig::14",,,,,
Haar,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
haben,"UD::Goethe::A1,UD::UniLeipzig::3",,,,,
Halbpension,"UD::Goethe::A1,UD::UniLeipzig::16",Meist ohne Artikel,,,,
Halle,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
halten,"UD::Goethe::A1,UD::UniLeipzig::7",,,,,
Haltestelle,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
Hand,"UD::Goethe::A1,UD::UniLeipzig::8",,,,,
Handy,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
Haus,"UD::Goethe::A1,UD::UniLeipzig::7",,,,,
Hausaufgabe,"UD::Goethe::A1,UD::UniLeipzig::17",,,,,
Hausfrau,"UD::Goethe::A1,UD::UniLeipzig::15",,,,,
Hausmann,"UD::Goethe::A1,UD::UniLeipzig::15",,,,,
Hähnchen,"UD::Goethe::A1,UD::UniLeipzig::15",,,,,
Heimat,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
heiraten,"UD::Goethe::A1,UD::UniLeipzig::12",,,,,
heißen,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
helfen,"UD::Goethe::A1,UD::UniLeipzig::8",,,,,
Herbst,"UD::Goethe::A1,UD::UniLeipzig::8",,,,,
Herd,"UD::Goethe::A1,UD::UniLeipzig::12",,,,,
Herr,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
Hilfe,"UD::Goethe::A1,UD::UniLeipzig::8",,,,,
Hobby,"UD::Goethe::A1,UD::UniLeipzig::12",,,,,
Hochzeit,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
holen,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
Hotel,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
hören,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
Hund,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
Hunger,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
Information,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
Internet,"UD::Goethe::A1,UD::UniLeipzig::8",,,,,
Jacke,"UD::Goethe::A1,UD::UniLeipzig::12",,,,,
Jahr,"UD::Goethe::A1,UD::UniLeipzig::5",,,,,
Januar,"UD::Goethe::A1,UD::UniLeipzig::7",,,,,
